provincia,partido,localidad,link_indec,otros,"0,5_mbps",1_mbps,2_mbps,3_mbps,5_mbps,6_mbps,8_mbps,10_mbps,15_mbps,20_mbps,30_mbps,50_mbps,100_mbps
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,0,2,0,0,85,0,76,299,288,415,1797,1501,647,693
BUENOS AIRES,25 de Mayo,Agustín Mosconi,6854010,0,0,0,0,0,0,0,0,59,0,5,0,0,0
BUENOS AIRES,25 de Mayo,Del Valle,6854020,0,1,0,0,181,0,0,0,10,0,0,0,0,0
BUENOS AIRES,25 de Mayo,Ernestina,6854030,0,0,0,0,0,75,0,0,0,0,0,0,0,0
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040,0,0,0,106,3,7,3,4,1,0,0,0,0,0
BUENOS AIRES,25 de Mayo,Lucas Monteverde,6854050,0,0,0,0,5,0,0,0,0,0,0,0,0,0
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060,0,0,0,174,32,8,914,0,2,322,0,0,20,0
BUENOS AIRES,25 de Mayo,Pedernales,6854070,0,0,0,0,0,0,2,0,177,3,0,0,25,0
BUENOS AIRES,25 de Mayo,San Enrique,6854080,0,0,0,0,0,0,0,0,0,0,11,0,0,0
BUENOS AIRES,25 de Mayo,Valdés,6854090,0,0,0,0,0,0,0,0,245,0,18,0,0,0
BUENOS AIRES,9 de Julio,12 de Octubre,6588030,0,0,0,0,11,0,0,0,0,0,0,0,0,0
BUENOS AIRES,9 de Julio,9 de Julio,6588100,0,0,0,0,198,154,4824,98,2670,1239,1144,362,640,1817
BUENOS AIRES,9 de Julio,Alfredo Demarchi  (Est. Facundo Quiroga),6588010,0,0,0,0,510,0,0,0,0,0,0,0,0,0
BUENOS AIRES,9 de Julio,Dudignac,6588040,0,0,8,0,36,0,46,0,52,0,0,0,0,0
BUENOS AIRES,9 de Julio,Manuel B. Gonnet  (Est. French),6588060,0,0,1,193,0,0,1,0,2,0,0,0,0,0
BUENOS AIRES,9 de Julio,Morea,6588080,0,0,0,0,130,0,0,0,0,0,0,0,0,0
BUENOS AIRES,9 de Julio,Patricios,6588110,0,0,0,0,50,0,16,0,44,21,0,0,0,0
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),6588120,0,0,0,0,42,0,6,0,37,29,32,11,3,0
BUENOS AIRES,Adolfo Alsina,Carhué,6007010,0,0,0,0,763,0,0,36,0,1231,0,1,813,2
BUENOS AIRES,Adolfo Alsina,Colonia San Miguel Arcángel,6007020,0,0,0,0,208,0,0,0,0,0,0,0,0,0
BUENOS AIRES,Adolfo Alsina,Esteban Agustín Gascón,6007050,0,0,0,0,60,0,0,0,0,0,0,0,0,0
BUENOS AIRES,Adolfo Alsina,Maza,6007070,10,2,0,0,0,386,0,0,6,0,2,0,0,0
BUENOS AIRES,Adolfo Alsina,Rivera,6007080,0,0,0,0,0,0,0,0,52,0,0,0,0,0
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010,0,0,0,0,0,0,0,447,122,1422,0,44,1,0
BUENOS AIRES,Adolfo Gonzales Chaves,De la Garma,6014020,0,0,0,0,0,0,0,28,45,5,0,0,0,0
BUENOS AIRES,Adolfo Gonzales Chaves,Juan E. Barra,6014030,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUENOS AIRES,Adolfo Gonzales Chaves,Vásquez,6014040,0,0,0,0,12,0,0,0,0,0,0,0,0,0
BUENOS AIRES,Alberti,Alberti   (Est. Andrés Vaccarezza),6021010,0,0,0,1,0,1,0,116,0,302,0,0,0,1
BUENOS AIRES,Alberti,Coronel Seguí,6021020,0,0,0,0,0,0,0,0,0,5,0,0,0,0
