año,trimestre,provincia,accesos_por_cada_100_hogares
2024,1,Buenos Aires,81
2024,1,Capital Federal,119
2024,1,Catamarca,68
2024,1,Chaco,46
2024,1,Chubut,84
2024,1,Córdoba,90
2024,1,Corrientes,51
2024,1,Entre Ríos,69
2024,1,Formosa,39
2024,1,Jujuy,57
2024,1,La Pampa,100
2024,1,La Rioja,80
2024,1,Mendoza,52
2024,1,Misiones,56
2024,1,Neuquén,79
2024,1,Río Negro,71
2024,1,Salta,56
2024,1,San Juan,51
2024,1,San Luis,102
2024,1,Santa Cruz,67
2024,1,Santa Fe,80
2024,1,Santiago Del Estero,49
2024,1,Tierra Del Fuego,109
2024,1,Tucumán,60
2023,4,Buenos Aires,80
2023,4,Capital Federal,117
2023,4,Catamarca,68
2023,4,Chaco,44
2023,4,Chubut,84
2023,4,Córdoba,90
2023,4,Corrientes,52
2023,4,Entre Ríos,69
2023,4,Formosa,39
2023,4,Jujuy,57
2023,4,La Pampa,99
2023,4,La Rioja,80
2023,4,Mendoza,52
2023,4,Misiones,56
2023,4,Neuquén,79
2023,4,Río Negro,70
2023,4,Salta,56
2023,4,San Juan,50
2023,4,San Luis,102
2023,4,Santa Cruz,73
2023,4,Santa Fe,79
2023,4,Santiago Del Estero,49
2023,4,Tierra Del Fuego,110
2023,4,Tucumán,61
2023,3,Buenos Aires,80
2023,3,Capital Federal,116
2023,3,Catamarca,68
2023,3,Chaco,42
2023,3,Chubut,84
2023,3,Córdoba,90
2023,3,Corrientes,52
2023,3,Entre Ríos,68
2023,3,Formosa,38
2023,3,Jujuy,57
2023,3,La Pampa,99
2023,3,La Rioja,80
2023,3,Mendoza,52
2023,3,Misiones,55
2023,3,Neuquén,79
2023,3,Río Negro,68
2023,3,Salta,57
2023,3,San Juan,50
2023,3,San Luis,98
2023,3,Santa Cruz,40
2023,3,Santa Fe,79
2023,3,Santiago Del Estero,48
2023,3,Tierra Del Fuego,105
2023,3,Tucumán,61
2023,2,Buenos Aires,79
2023,2,Capital Federal,115
2023,2,Catamarca,67
2023,2,Chaco,42
2023,2,Chubut,82
2023,2,Córdoba,90
2023,2,Corrientes,52
2023,2,Entre Ríos,64
2023,2,Formosa,38
2023,2,Jujuy,57
2023,2,La Pampa,98
2023,2,La Rioja,80
2023,2,Mendoza,52
2023,2,Misiones,55
2023,2,Neuquén,78
2023,2,Río Negro,68
2023,2,Salta,57
2023,2,San Juan,47
2023,2,San Luis,93
2023,2,Santa Cruz,41
2023,2,Santa Fe,78
2023,2,Santiago Del Estero,47
2023,2,Tierra Del Fuego,106
2023,2,Tucumán,60
2023,1,Buenos Aires,79
2023,1,Capital Federal,122
2023,1,Catamarca,66
2023,1,Chaco,43
2023,1,Chubut,85
2023,1,Córdoba,88
2023,1,Corrientes,52
2023,1,Entre Ríos,64
2023,1,Formosa,38
2023,1,Jujuy,58
2023,1,La Pampa,96
2023,1,La Rioja,79
2023,1,Mendoza,51
2023,1,Misiones,53
2023,1,Neuquén,78
2023,1,Río Negro,69
2023,1,Salta,57
2023,1,San Juan,49
2023,1,San Luis,90
2023,1,Santa Cruz,43
2023,1,Santa Fe,78
2023,1,Santiago Del Estero,47
2023,1,Tierra Del Fuego,104
2023,1,Tucumán,60
2022,4,Buenos Aires,78
2022,4,Capital Federal,122
2022,4,Catamarca,65
2022,4,Chaco,43
2022,4,Chubut,85
2022,4,Córdoba,89
2022,4,Corrientes,51
2022,4,Entre Ríos,64
2022,4,Formosa,39
2022,4,Jujuy,58
2022,4,La Pampa,94
2022,4,La Rioja,79
2022,4,Mendoza,51
2022,4,Misiones,52
2022,4,Neuquén,78
2022,4,Río Negro,68
2022,4,Salta,57
2022,4,San Juan,50
2022,4,San Luis,90
2022,4,Santa Cruz,43
2022,4,Santa Fe,78
2022,4,Santiago Del Estero,48
2022,4,Tierra Del Fuego,101
2022,4,Tucumán,61
2022,3,Buenos Aires,78
2022,3,Capital Federal,122
2022,3,Catamarca,65
2022,3,Chaco,43
2022,3,Chubut,84
2022,3,Córdoba,88
2022,3,Corrientes,48
2022,3,Entre Ríos,63
2022,3,Formosa,43
2022,3,Jujuy,58
2022,3,La Pampa,96
2022,3,La Rioja,80
2022,3,Mendoza,51
2022,3,Misiones,51
2022,3,Neuquén,80
2022,3,Río Negro,67
2022,3,Salta,57
2022,3,San Juan,50
2022,3,San Luis,81
2022,3,Santa Cruz,43
2022,3,Santa Fe,78
2022,3,Santiago Del Estero,47
2022,3,Tierra Del Fuego,99
2022,3,Tucumán,61
2022,2,Buenos Aires,77
2022,2,Capital Federal,121
2022,2,Catamarca,62
2022,2,Chaco,43
2022,2,Chubut,83
2022,2,Córdoba,87
2022,2,Corrientes,48
2022,2,Entre Ríos,63
2022,2,Formosa,43
2022,2,Jujuy,57
2022,2,La Pampa,92
2022,2,La Rioja,80
2022,2,Mendoza,49
2022,2,Misiones,51
2022,2,Neuquén,80
2022,2,Río Negro,67
2022,2,Salta,57
2022,2,San Juan,49
2022,2,San Luis,81
2022,2,Santa Cruz,43
2022,2,Santa Fe,77
2022,2,Santiago Del Estero,47
2022,2,Tierra Del Fuego,99
2022,2,Tucumán,59
2022,1,Buenos Aires,76
2022,1,Capital Federal,111
2022,1,Catamarca,58
2022,1,Chaco,44
2022,1,Chubut,88
2022,1,Córdoba,85
2022,1,Corrientes,47
2022,1,Entre Ríos,63
2022,1,Formosa,34
2022,1,Jujuy,58
2022,1,La Pampa,91
2022,1,La Rioja,78
2022,1,Mendoza,48
2022,1,Misiones,49
2022,1,Neuquén,74
2022,1,Río Negro,67
2022,1,Salta,56
2022,1,San Juan,43
2022,1,San Luis,80
2022,1,Santa Cruz,43
2022,1,Santa Fe,77
2022,1,Santiago Del Estero,47
2022,1,Tierra Del Fuego,98
2022,1,Tucumán,57
