año,trimestre,provincia,mbps_(media_de_bajada)
2024,1,Buenos Aires,159
2024,1,Capital Federal,229
2024,1,Catamarca,91
2024,1,Chaco,107
2024,1,Chubut,20
2024,1,Córdoba,114
2024,1,Corrientes,102
2024,1,Entre Ríos,101
2024,1,Formosa,83
2024,1,Jujuy,47
2024,1,La Pampa,26
2024,1,La Rioja,63
2024,1,Mendoza,51
2024,1,Misiones,94
2024,1,Neuquén,98
2024,1,Río Negro,75
2024,1,Salta,84
2024,1,San Juan,30
2024,1,San Luis,179
2024,1,Santa Cruz,31
2024,1,Santa Fe,100
2024,1,Santiago Del Estero,44
2024,1,Tierra Del Fuego,21
2024,1,Tucumán,103
2023,4,Buenos Aires,158
2023,4,Capital Federal,234
2023,4,Catamarca,89
2023,4,Chaco,107
2023,4,Chubut,20
2023,4,Córdoba,114
2023,4,Corrientes,100
2023,4,Entre Ríos,101
2023,4,Formosa,83
2023,4,Jujuy,46
2023,4,La Pampa,25
2023,4,La Rioja,64
2023,4,Mendoza,49
2023,4,Misiones,93
2023,4,Neuquén,99
2023,4,Río Negro,74
2023,4,Salta,83
2023,4,San Juan,24
2023,4,San Luis,174
2023,4,Santa Cruz,36
2023,4,Santa Fe,99
2023,4,Santiago Del Estero,44
2023,4,Tierra Del Fuego,17
2023,4,Tucumán,101
2023,3,Buenos Aires,146
2023,3,Capital Federal,218
2023,3,Catamarca,87
2023,3,Chaco,107
2023,3,Chubut,19
2023,3,Córdoba,111
2023,3,Corrientes,99
2023,3,Entre Ríos,96
2023,3,Formosa,80
2023,3,Jujuy,44
2023,3,La Pampa,24
2023,3,La Rioja,63
2023,3,Mendoza,46
2023,3,Misiones,91
2023,3,Neuquén,96
2023,3,Río Negro,70
2023,3,Salta,80
2023,3,San Juan,24
2023,3,San Luis,104
2023,3,Santa Cruz,15
2023,3,Santa Fe,97
2023,3,Santiago Del Estero,41
2023,3,Tierra Del Fuego,17
2023,3,Tucumán,98
2023,2,Buenos Aires,138
2023,2,Capital Federal,208
2023,2,Catamarca,86
2023,2,Chaco,105
2023,2,Chubut,18
2023,2,Córdoba,111
2023,2,Corrientes,97
2023,2,Entre Ríos,89
2023,2,Formosa,77
2023,2,Jujuy,43
2023,2,La Pampa,22
2023,2,La Rioja,63
2023,2,Mendoza,42
2023,2,Misiones,90
2023,2,Neuquén,93
2023,2,Río Negro,70
2023,2,Salta,79
2023,2,San Juan,20
2023,2,San Luis,103
2023,2,Santa Cruz,15
2023,2,Santa Fe,94
2023,2,Santiago Del Estero,37
2023,2,Tierra Del Fuego,16
2023,2,Tucumán,96
2023,1,Buenos Aires,116
2023,1,Capital Federal,188
2023,1,Catamarca,87
2023,1,Chaco,104
2023,1,Chubut,18
2023,1,Córdoba,109
2023,1,Corrientes,94
2023,1,Entre Ríos,86
2023,1,Formosa,73
2023,1,Jujuy,42
2023,1,La Pampa,20
2023,1,La Rioja,63
2023,1,Mendoza,41
2023,1,Misiones,89
2023,1,Neuquén,93
2023,1,Río Negro,74
2023,1,Salta,76
2023,1,San Juan,18
2023,1,San Luis,55
2023,1,Santa Cruz,14
2023,1,Santa Fe,92
2023,1,Santiago Del Estero,36
2023,1,Tierra Del Fuego,14
2023,1,Tucumán,95
2022,4,Buenos Aires,111
2022,4,Capital Federal,182
2022,4,Catamarca,83
2022,4,Chaco,104
2022,4,Chubut,15
2022,4,Córdoba,108
2022,4,Corrientes,94
2022,4,Entre Ríos,87
2022,4,Formosa,72
2022,4,Jujuy,39
2022,4,La Pampa,19
2022,4,La Rioja,61
2022,4,Mendoza,38
2022,4,Misiones,91
2022,4,Neuquén,95
2022,4,Río Negro,75
2022,4,Salta,75
2022,4,San Juan,16
2022,4,San Luis,30
2022,4,Santa Cruz,14
2022,4,Santa Fe,90
2022,4,Santiago Del Estero,34
2022,4,Tierra Del Fuego,13
2022,4,Tucumán,88
2022,3,Buenos Aires,70
2022,3,Capital Federal,101
2022,3,Catamarca,60
2022,3,Chaco,53
2022,3,Chubut,15
2022,3,Córdoba,56
2022,3,Corrientes,45
2022,3,Entre Ríos,42
2022,3,Formosa,30
2022,3,Jujuy,32
2022,3,La Pampa,18
2022,3,La Rioja,44
2022,3,Mendoza,34
2022,3,Misiones,49
2022,3,Neuquén,47
2022,3,Río Negro,34
2022,3,Salta,41
2022,3,San Juan,15
2022,3,San Luis,19
2022,3,Santa Cruz,12
2022,3,Santa Fe,45
2022,3,Santiago Del Estero,17
2022,3,Tierra Del Fuego,11
2022,3,Tucumán,53
2022,2,Buenos Aires,65
2022,2,Capital Federal,93
2022,2,Catamarca,56
2022,2,Chaco,50
2022,2,Chubut,14
2022,2,Córdoba,53
2022,2,Corrientes,43
2022,2,Entre Ríos,40
2022,2,Formosa,28
2022,2,Jujuy,29
2022,2,La Pampa,16
2022,2,La Rioja,43
2022,2,Mendoza,29
2022,2,Misiones,46
2022,2,Neuquén,46
2022,2,Río Negro,33
2022,2,Salta,38
2022,2,San Juan,14
2022,2,San Luis,19
2022,2,Santa Cruz,11
2022,2,Santa Fe,42
2022,2,Santiago Del Estero,16
2022,2,Tierra Del Fuego,10
2022,2,Tucumán,50
2022,1,Buenos Aires,62
2022,1,Capital Federal,88
2022,1,Catamarca,51
2022,1,Chaco,45
2022,1,Chubut,13
2022,1,Córdoba,49
2022,1,Corrientes,38
2022,1,Entre Ríos,35
2022,1,Formosa,30
2022,1,Jujuy,27
2022,1,La Pampa,14
2022,1,La Rioja,41
2022,1,Mendoza,26
2022,1,Misiones,41
2022,1,Neuquén,43
2022,1,Río Negro,31
2022,1,Salta,36
2022,1,San Juan,11
2022,1,San Luis,20
2022,1,Santa Cruz,10
2022,1,Santa Fe,38
2022,1,Santiago Del Estero,14
2022,1,Tierra Del Fuego,10
2022,1,Tucumán,47
2021,4,Buenos Aires,60
2021,4,Capital Federal,82
2021,4,Catamarca,46
2021,4,Chaco,42
2021,4,Chubut,9
2021,4,Córdoba,46
2021,4,Corrientes,35
2021,4,Entre Ríos,33
