año,trimestre,provincia,otros,"0,256_mbps","0,5_mbps","0,512_mbps","0,75_mbps",1_mbps,2_mbps,3_mbps,"3,5_mbps",4_mbps,5_mbps,6_mbps,7_mbps,8_mbps,9_mbps,10_mbps,11_mbps,12_mbps,15_mbps,16_mbps,18_mbps,20_mbps,24_mbps,25_mbps,30_mbps,35_mbps,40_mbps,50_mbps,60_mbps,100_mbps,120_mbps,150_mbps,200_mbps,300_mbps,500_mbps,1000_mbps
2024,1,Buenos Aires,125147,18,25815,169,4611,17899,19520,43554,41735,13365,27327,75439,11286,63826,688,157372,10,21114,94414,231,1080,124540,106,42701,782651,1373,5574,504344,75495,865122,496,484778,7739,1060257,149680,156691
2024,1,Capital Federal,0,31,451,34,1307,4111,249,3971,11975,994,3547,9017,7,16864,3,34541,5,92,29730,5,0,7537,0,433,58579,24,238,66357,17314,375600,30,147085,3301,553467,86440,68405
2024,1,Catamarca,70,0,34,37,0,176,115,1644,0,1,332,780,0,0,0,3424,0,31,1901,0,0,2272,914,47,861,0,0,35211,0,17716,0,0,42,8099,372,20
2024,1,Chaco,3816,0,234,2,0,416,780,2925,167,385,5115,4784,106,700,1,8237,0,137,3421,0,0,1975,0,3435,2294,19,0,33117,0,55941,650,0,1053,23172,1610,150
2024,1,Chubut,16640,8,69,34,836,247,1870,5642,11441,6185,4369,14321,76,13374,21,18414,1,5603,13739,141,0,3484,8047,5560,7643,0,29,31184,2,1255,0,0,1,158,3,0
2024,1,Córdoba,14710,2,87,10,83,7973,7589,25408,4897,10133,8411,53772,1818,10313,714,74948,88,7337,19975,134,58,19378,2,23046,6694,8,1368,242593,5952,295368,891,27,11502,198178,18929,3190
2024,1,Corrientes,6242,0,10,57,118,2572,1721,5092,480,1718,2751,6875,0,4890,0,11640,0,8,1673,3548,0,2451,0,1421,589,0,2834,31709,0,37081,1705,0,2442,25789,1851,266
2024,1,Entre Ríos,13975,1,20,86,113,4177,4821,6815,390,2334,5417,14797,358,2399,0,48690,0,1486,5069,1,0,9566,0,863,6383,0,0,40205,0,69813,780,1,2043,51544,3543,708
2024,1,Formosa,302,1,49,35,0,158,1447,10284,0,3296,2059,5047,108,162,0,10654,0,40,1172,0,0,2964,0,9,268,3,13,1361,0,11492,0,0,0,11104,581,109
2024,1,Jujuy,1970,0,26,32,0,1268,1637,2959,0,2889,5128,2351,10,946,0,10327,0,23495,362,0,4,4687,0,8,268,0,0,45106,0,9395,0,0,1,4381,281,19
2024,1,La Pampa,1599,3,6,62,143,1276,2312,6114,2327,2454,2198,29499,516,1562,0,15195,0,1,5102,0,0,10118,0,1543,3792,1,2900,23478,1939,5863,1290,0,8,474,129,8
2024,1,La Rioja,0,0,9,9,0,407,8,404,0,2,180,742,0,85,0,1481,22,15442,287,0,0,9019,209,0,4503,0,0,36934,0,11474,0,0,137,5936,469,23
2024,1,Mendoza,5566,2,86,16,737,2208,3081,4179,10699,1584,1108,13894,13,10780,1251,8856,0,4467,19102,0,0,6480,626,155,53012,0,4,111499,1,28343,1,0,447,10984,642,33
2024,1,Misiones,8526,0,47,4,0,3173,11019,3874,4,1705,3170,7110,7855,29,0,18485,1,116,1227,0,0,8468,0,8,3649,0,71,37533,19,51195,502,1027,5008,25109,1418,229
2024,1,Neuquén,20168,1,62,73,458,539,1626,5303,10737,1438,7821,8457,246,6119,0,7117,0,3775,5148,0,0,1567,0,259,14327,0,66,8573,7,30680,0,4,0,26468,2734,469
2024,1,Río Negro,15576,1,36,75,501,534,677,5428,7796,727,2135,8737,0,11085,1,6555,18,1640,9894,0,3,5636,0,7618,16244,2,33,16821,259,22385,233,33,26,17629,971,228
2024,1,Salta,6646,0,41,73,1,925,1538,5731,8,8365,4873,6837,330,6869,0,57331,0,88,1392,0,4,1707,0,2,75,0,0,29271,0,38867,35,0,1,28286,1664,355
2024,1,San Juan,22755,0,21,3,723,1298,606,4403,11509,251,309,4967,86,9157,9,3778,0,799,9836,0,0,962,627,339,10448,0,0,18638,1,3254,0,0,0,1790,6,0
2024,1,San Luis,5968,0,59,1,163,465,491,2772,1418,2,347,6288,3,2622,49,21080,0,5632,1836,0,0,1485,0,70721,136,0,35,7623,0,1983,0,0,0,740,29,23645
2024,1,Santa Cruz,33803,4,26,20,218,209,724,1259,2001,504,1272,2004,1,2360,4,7212,0,251,6224,0,1,706,31,1454,5592,1139,3,7710,0,1386,0,587,102,0,142,0
2024,1,Santa Fe,16168,32,335,101,5,6412,6337,22748,164,5400,17998,23175,4114,10561,1464,136891,0,1200,25445,31,8,31836,39,12483,16119,41,5817,179739,1892,210827,1219,1621,10211,146478,9107,1317
2024,1,Santiago Del Estero,917,2,39,139,908,226,381,5230,0,1220,409,4881,352,114,0,52745,0,14787,241,0,0,9253,0,18,5778,0,41,6701,1,10229,0,0,0,8542,664,54
