año,mes,personal,claro,nextel,movistar,periodo
2012,3,-17,19,0,-2,2012-03-01
2012,4,3508,-1134,-189,-2185,2012-04-01
2012,5,1253,4792,-853,-5192,2012-05-01
2012,6,3263,-1248,-848,-1167,2012-06-01
2012,7,5554,-3847,-1105,-602,2012-07-01
2012,8,3131,-1622,-1265,-244,2012-08-01
2012,9,3701,568,-1637,-2632,2012-09-01
2012,10,3894,1870,-1768,-3996,2012-10-01
2012,11,2358,1124,-1326,-2156,2012-11-01
2012,12,671,2452,-1478,-1645,2012-12-01
2013,1,1186,3149,-1267,-3068,2013-01-01
2013,2,-142,1282,-806,-334,2013-02-01
2013,3,173,778,-1042,91,2013-03-01
2013,4,-1637,3847,-1548,-662,2013-04-01
2013,5,-2078,3972,-1427,-467,2013-05-01
2013,6,-1442,2990,-1162,-386,2013-06-01
2013,7,-2748,5868,-1695,-1425,2013-07-01
2013,8,-4255,6698,-1451,-992,2013-08-01
2013,9,-1032,6026,-1835,-3159,2013-09-01
2013,10,-335,4638,-1567,-2736,2013-10-01
2013,11,-715,4705,-1382,-2608,2013-11-01
2013,12,2319,3903,-1333,-4889,2013-12-01
2014,1,-200,6135,-1090,-4845,2014-01-01
2014,2,-2152,8757,-1074,-5531,2014-02-01
2014,3,-2314,10604,-1252,-7038,2014-03-01
2014,4,3252,7131,-1551,-8832,2014-04-01
2014,5,-846,8606,-1661,-6099,2014-05-01
2014,6,-8059,18958,-2321,-8578,2014-06-01
2014,7,-8914,16039,-1992,-5133,2014-07-01
2014,8,-5095,16506,-1859,-9552,2014-08-01
2014,9,-807,11581,-2018,-8756,2014-09-01
2014,10,5607,8777,-2051,-12333,2014-10-01
2014,11,-1780,11769,-1235,-8754,2014-11-01
2014,12,4719,12234,-1582,-15371,2014-12-01
2015,1,3041,15835,-1465,-17411,2015-01-01
2015,2,-3283,20246,-1096,-15867,2015-02-01
2015,3,-3860,22138,-1311,-16967,2015-03-01
2015,4,-8856,33859,-1574,-23429,2015-04-01
