año,trimestre,provincia,accesos_tv_por_suscripción_(vrf)
2024,1,Buenos Aires,3000167
2024,1,Capital Federal,705786
2024,1,Catamarca,51061
2024,1,Chaco,116721
2024,1,Chubut,77969
2024,1,Córdoba,1125896
2024,1,Corrientes,125516
2024,1,Entre Ríos,256665
2024,1,Formosa,95511
2024,1,Jujuy,120590
2024,1,La Pampa,80190
2024,1,La Rioja,23344
2024,1,Mendoza,140185
2024,1,Misiones,131919
2024,1,Neuquén,65311
2024,1,Río Negro,96041
2024,1,Salta,222358
2024,1,San Juan,38482
2024,1,San Luis,60326
2024,1,Santa Cruz,39941
2024,1,Santa Fe,703120
2024,1,Santiago Del Estero,147930
2024,1,Tierra Del Fuego,45721
2024,1,Tucumán,130749
2023,4,Buenos Aires,3030594
2023,4,Capital Federal,718322
2023,4,Catamarca,52242
2023,4,Chaco,117091
2023,4,Chubut,78209
2023,4,Córdoba,1125889
2023,4,Corrientes,126552
2023,4,Entre Ríos,258235
2023,4,Formosa,78698
2023,4,Jujuy,120720
2023,4,La Pampa,81520
2023,4,La Rioja,24095
2023,4,Mendoza,144402
2023,4,Misiones,133489
2023,4,Neuquén,66927
2023,4,Río Negro,98317
2023,4,Salta,218119
2023,4,San Juan,41603
2023,4,San Luis,52978
2023,4,Santa Cruz,42135
2023,4,Santa Fe,704457
2023,4,Santiago Del Estero,158573
2023,4,Tierra Del Fuego,45673
2023,4,Tucumán,131969
2023,3,Buenos Aires,3019720
2023,3,Capital Federal,730235
2023,3,Catamarca,56378
2023,3,Chaco,120942
2023,3,Chubut,79587
2023,3,Córdoba,1147976
2023,3,Corrientes,140356
2023,3,Entre Ríos,233002
2023,3,Formosa,75707
2023,3,Jujuy,123351
2023,3,La Pampa,82216
2023,3,La Rioja,35194
2023,3,Mendoza,143748
2023,3,Misiones,141519
2023,3,Neuquén,75294
2023,3,Río Negro,104307
2023,3,Salta,219130
2023,3,San Juan,44567
2023,3,San Luis,48751
2023,3,Santa Cruz,41366
2023,3,Santa Fe,754992
2023,3,Santiago Del Estero,149724
2023,3,Tierra Del Fuego,45759
2023,3,Tucumán,129914
2023,2,Buenos Aires,3129739
2023,2,Capital Federal,819774
2023,2,Catamarca,54376
2023,2,Chaco,124447
2023,2,Chubut,76929
2023,2,Córdoba,1213542
2023,2,Corrientes,146973
2023,2,Entre Ríos,240513
2023,2,Formosa,76360
2023,2,Jujuy,122165
2023,2,La Pampa,82353
2023,2,La Rioja,26153
2023,2,Mendoza,142785
2023,2,Misiones,146236
2023,2,Neuquén,85532
2023,2,Río Negro,103057
2023,2,Salta,226114
2023,2,San Juan,42086
2023,2,San Luis,48514
2023,2,Santa Cruz,39293
2023,2,Santa Fe,781228
2023,2,Santiago Del Estero,157347
2023,2,Tierra Del Fuego,45463
2023,2,Tucumán,145421
2023,1,Buenos Aires,3026183
2023,1,Capital Federal,754663
2023,1,Catamarca,53881
2023,1,Chaco,119111
2023,1,Chubut,77341
2023,1,Córdoba,1155500
2023,1,Corrientes,139742
2023,1,Entre Ríos,230874
2023,1,Formosa,74716
2023,1,Jujuy,120974
2023,1,La Pampa,82416
2023,1,La Rioja,25228
2023,1,Mendoza,140688
2023,1,Misiones,143074
2023,1,Neuquén,77665
2023,1,Río Negro,106875
2023,1,Salta,215732
2023,1,San Juan,42465
2023,1,San Luis,48348
2023,1,Santa Cruz,36161
2023,1,Santa Fe,758047
2023,1,Santiago Del Estero,155373
2023,1,Tierra Del Fuego,44735
2023,1,Tucumán,140620
2022,4,Buenos Aires,2965696
2022,4,Capital Federal,738948
2022,4,Catamarca,54332
2022,4,Chaco,124007
2022,4,Chubut,80548
2022,4,Córdoba,1144232
2022,4,Corrientes,138275
2022,4,Entre Ríos,232681
2022,4,Formosa,68178
2022,4,Jujuy,118439
