año,trimestre,accesos_tv_por_suscripción,accesos_tv_satelital,periodo
2024,1,7601499,1445205,Ene-Mar 2024
2023,4,7650809,1508789,Oct-Dic 2023
2023,3,7743735,1683205,Jul-Sept 2022
2023,2,8076400,1735655,Abr-Jun 2023
2023,1,7770412,1766221,Ene-Mar 2023
2022,4,7680025,1837878,Oct-Dic 2022
2022,3,7665931,2064699,Jul-Sept 2022
2022,2,7647584,2064637,Abr-Jun 2022
2022,1,7564827,2049628,Ene-Mar 2022
2021,4,7596758,2010217,Oct-Dic 2021
2021,3,7676892,2147571,Jul-Sept 2021
2021,2,7333071,2326029,Abr-Jun 2021
2021,1,7346948,2261855,Ene-Mar 2021
2020,4,7332508,2320365,Oct-Dic 2020
2020,3,7329433,2451671,Jul-Sept 2020
2020,2,7224135,2453731,Abr-Jun 2020
2020,1,7221911,2456768,Ene-Mar 2020
2019,4,7296185,2459872,Oct-Dic 2019
2019,3,7156690,2460927,Jul-Sept 2019
2019,2,7048709,2460177,Abr-Jun 2019
2019,1,6971691,2473124,Ene-Mar 2019
2018,4,6911972,2474558,Oct-Dic 2018
2018,3,7043550,2536706,Jul-Sept 2018
2018,2,6930762,2502826,Abr-Jun 2018
2018,1,6932176,2466902,Ene-Mar 2018
2017,4,6826025,2562320,Oct-Dic 2017
2017,3,6767020,2592551,Jul-Sept 2017
2017,2,6766484,2576258,Abr-Jun 2017
2017,1,6603332,2531404,Ene-Mar 2017
2016,4,6553801,2662031,Oct-Dic 2016
2016,3,6538382,2628542,Jul-Sept 2016
2016,2,6534381,2642286,Abr-Jun 2016
2016,1,6505712,2539255,Ene-Mar 2016
2015,4,6506102,2537610,Oct-Dic 2015
2015,3,6489305,2585384,Jul-Sept 2015
2015,2,6460053,2582737,Abr-Jun 2015
2015,1,6409504,2495326,Ene-Mar 2015
2014,4,6478044,2466184,Oct-Dic 2014
2014,3,6449845,2450098,Jul-Sept 2014
2014,2,6438522,2546820,Abr-Jun 2014
