año,trimestre,ingresos_tv_por_suscripción__(miles_de_$),ingresos_tv_satelital_(miles_de_$)
2024,1,190787199,94270533
2023,4,133582200,64748818
2023,3,103738032,51179479
2023,2,87015368,38625145
2023,1,74739351,33430741
2022,4,62432903,29721126
2022,3,52399891,27073190
2022,2,46322065,23559484
2022,1,42113438,21268086
2021,4,38273391,18038065
2021,3,36398025,18039519
2021,2,33674995,18038442
2021,1,31924515,18038360
2020,4,26324098,14479622
2020,3,25386154,12933200
2020,2,24620009,12544725
2020,1,25147465,12352763
2019,4,22785446,12150588
2019,3,20284731,10896197
2019,2,18392209,9937613
2019,1,17479491,8816484
2018,4,15211246,8270871
2018,3,14197598,8179602
2018,2,13358361,7797684
2018,1,12277309,7145424
2017,4,11642559,6844906
2017,3,10764742,6093649
2017,2,9936138,5764634
2017,1,9607361,5262244
2016,4,8517141,5016640
2016,3,8293761,4653224
2016,2,7353428,4400976
2016,1,7137386,4069679
2015,4,6347226,3635228
2015,3,6130815,3439335
2015,2,5467604,3196654
2015,1,5292088,3021837
2014,4,4711967,2686124
2014,3,4423008,2530796
2014,2,4053729,2341708
2014,1,3599484,2001221
