año,trimestre,provincia,accesos_tv_por_suscripción_por_cada_100_hab,accesos_tv_por_suscripción_por_cada_100_hogares
2024,1,Buenos Aires,16,48
2024,1,Capital Federal,22,56
2024,1,Catamarca,11,46
2024,1,Chaco,9,35
2024,1,Chubut,11,38
2024,1,Córdoba,28,94
2024,1,Corrientes,10,41
2024,1,Entre Ríos,17,59
2024,1,Formosa,15,60
2024,1,Jujuy,15,58
2024,1,La Pampa,21,65
2024,1,La Rioja,5,21
2024,1,Mendoza,6,24
2024,1,Misiones,10,36
2024,1,Neuquén,9,31
2024,1,Río Negro,12,39
2024,1,Salta,14,61
2024,1,San Juan,4,18
2024,1,San Luis,11,39
2024,1,Santa Cruz,10,33
2024,1,Santa Fe,19,61
2024,1,Santiago Del Estero,14,58
2024,1,Tierra Del Fuego,24,81
2024,1,Tucumán,7,29
2023,4,Buenos Aires,16,48
2023,4,Capital Federal,23,57
2023,4,Catamarca,12,48
2023,4,Chaco,9,35
2023,4,Chubut,11,39
2023,4,Córdoba,28,94
2023,4,Corrientes,10,41
2023,4,Entre Ríos,18,60
2023,4,Formosa,12,49
2023,4,Jujuy,15,59
2023,4,La Pampa,22,67
2023,4,La Rioja,5,22
2023,4,Mendoza,7,25
2023,4,Misiones,10,37
2023,4,Neuquén,9,32
2023,4,Río Negro,12,41
2023,4,Salta,14,60
2023,4,San Juan,5,20
2023,4,San Luis,10,34
2023,4,Santa Cruz,10,35
2023,4,Santa Fe,19,61
2023,4,Santiago Del Estero,15,63
2023,4,Tierra Del Fuego,24,81
2023,4,Tucumán,7,30
2023,3,Buenos Aires,16,49
2023,3,Capital Federal,23,57
2023,3,Catamarca,13,51
2023,3,Chaco,9,36
2023,3,Chubut,12,39
2023,3,Córdoba,29,96
2023,3,Corrientes,12,46
2023,3,Entre Ríos,16,54
2023,3,Formosa,12,47
2023,3,Jujuy,15,60
2023,3,La Pampa,22,67
2023,3,La Rioja,8,32
2023,3,Mendoza,7,25
2023,3,Misiones,10,39
2023,3,Neuquén,10,36
2023,3,Río Negro,13,43
2023,3,Salta,14,61
2023,3,San Juan,5,21
2023,3,San Luis,9,32
2023,3,Santa Cruz,10,35
2023,3,Santa Fe,20,66
2023,3,Santiago Del Estero,14,59
2023,3,Tierra Del Fuego,24,82
2023,3,Tucumán,7,29
2023,2,Buenos Aires,17,51
2023,2,Capital Federal,26,64
