provincia,partido,localidad,población,adsl,cablemódem,dial_up,fibra_óptica,satelital,wireless,telefonía_fija,3g,4g,link,latitud,longitud
BUENOS AIRES,25 de Mayo,25 de Mayo,23408,SI,SI,--,--,SI,SI,SI,SI,SI,6854100,-35,-60
BUENOS AIRES,25 de Mayo,Agustín Mosconi,280,--,--,--,--,--,--,SI,--,--,6854010,-35,-60
BUENOS AIRES,25 de Mayo,Del Valle,899,SI,--,--,--,SI,--,--,SI,--,6854020,-35,-60
BUENOS AIRES,25 de Mayo,Ernestina,145,SI,--,--,--,--,--,SI,--,--,6854030,-35,-59
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,547,--,--,--,--,--,SI,--,--,--,6854040,-35,-60
BUENOS AIRES,25 de Mayo,Lucas Monteverde,63,--,--,--,--,--,SI,--,--,--,6854050,-35,-59
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,4524,--,SI,--,SI,--,SI,SI,SI,SI,6854060,-35,-59
BUENOS AIRES,25 de Mayo,Pedernales,1432,SI,--,--,SI,--,SI,SI,--,SI,6854070,-35,-59
BUENOS AIRES,25 de Mayo,San Enrique,279,--,--,--,--,--,--,SI,--,--,6854080,-35,-60
BUENOS AIRES,25 de Mayo,Valdés,579,--,--,--,--,--,--,SI,--,SI,6854090,-35,-60
BUENOS AIRES,9 de Julio,12 de Octubre,219,--,--,--,--,--,SI,SI,--,--,6588030,-35,-60
BUENOS AIRES,9 de Julio,9 de Julio,36494,SI,SI,SI,SI,--,SI,SI,SI,SI,6588100,-35,-60
BUENOS AIRES,Alberti,Villa María,24,--,--,--,--,--,--,--,--,--,6021060,-34,-60
BUENOS AIRES,Alberti,Villa Ortiz (Est. Coronel Mom),815,--,--,--,--,--,SI,SI,SI,SI,6021070,-34,-60
BUENOS AIRES,Almirante Brown,Adrogué,30271,SI,SI,SI,SI,SI,SI,SI,SI,SI,6028010,-34,-58
BUENOS AIRES,Almirante Brown,Burzaco,92223,SI,SI,SI,SI,SI,SI,SI,SI,SI,6028010,-34,-58
BUENOS AIRES,Almirante Brown,Claypole,44098,SI,SI,SI,SI,--,SI,SI,SI,SI,6028010,-34,-58
BUENOS AIRES,Almirante Brown,Don Orione,46366,--,SI,--,--,--,SI,--,SI,SI,6028010,-34,-58
BUENOS AIRES,Almirante Brown,Glew,61985,SI,SI,SI,SI,--,SI,SI,SI,SI,6028010,-34,-58
BUENOS AIRES,Almirante Brown,Jose Mármol,43494,--,SI,SI,SI,--,SI,SI,SI,SI,6028010,-34,-58
BUENOS AIRES,General Pueyrredón,Mar del Plata,560913,SI,SI,SI,SI,SI,SI,SI,SI,SI,6357110,-38,-57
BUENOS AIRES,General Pueyrredón,Punta Mogotes,0,--,--,--,--,--,--,--,SI,SI,6351020,-38,-57
BUENOS AIRES,General Pueyrredón,Sierra de los Padres,4249,SI,--,--,SI,--,SI,SI,SI,SI,6357120,-37,-57
BUENOS AIRES,General Rodríguez,Barrio Ruta 24 Kilómetro 10,0,--,--,--,SI,--,--,--,SI,SI,6364030,-34,-58
BUENOS AIRES,General Rodríguez,Country Club Bosque Real - Barrio Morabo,0,--,--,--,--,--,--,--,SI,SI,6364030,-34,-58
BUENOS AIRES,General Rodríguez,General Rodríguez,85315,SI,SI,SI,SI,SI,SI,SI,SI,SI,6364030,-34,-58
BUENOS AIRES,General San Martín,Barrio Parque General San Martin,421,--,--,SI,SI,--,SI,SI,--,SI,6371010,-34,-58
RIO NEGRO,Pilcaniyeu,Ñirihuau,261,--,--,--,--,--,--,--,--,--,62070040,-41,-71
BUENOS AIRES,Leandro N. Alem,Juan Bautista Alberdi (Est. Alberdi),3404,SI,SI,--,SI,--,SI,SI,SI,SI,6462040,-34,-61
BUENOS AIRES,Leandro N. Alem,Leandro N. Alem,2468,--,SI,--,--,--,SI,--,SI,SI,6462050,-34,-61
BUENOS AIRES,Leandro N. Alem,Vedia,8827,SI,--,--,SI,SI,SI,SI,SI,SI,6462060,-34,-61
BUENOS AIRES,Lincoln,Arenaza,1328,--,--,--,SI,--,--,SI,SI,SI,6469010,-34,-61
BUENOS AIRES,Lincoln,Bayauca,541,--,--,--,--,--,SI,SI,SI,SI,6469020,-34,-61
BUENOS AIRES,Lincoln,Bermúdez,72,--,--,--,--,--,--,--,--,--,6469030,-34,-61
BUENOS AIRES,Lincoln,Carlos Salas,234,--,--,--,--,--,SI,--,--,--,6469040,-35,-61
BUENOS AIRES,Lincoln,Coronel Martínez de Hoz (Ap. Kilómetro 322),1041,SI,--,--,--,--,--,SI,SI,SI,6469050,-35,-61
