año,trimestre,accesos_telefonía_fija_(total),accesos_telefonía_fija_(hogares),accesos_telefonía_fija_(comercial),accesos_telefonía_fija_(gobierno),accesos_telefonía_fija_(otros),periodo
2014,1,9562231,7897980,1065834,30917,567500,Ene-Mar 2014
2014,2,9548994,7872511,1073038,31339,572106,Abr-Jun 2014
2014,3,9613361,7924613,1091747,32516,564485,Jul-Sept 2014
2014,4,9689752,7989623,1106502,33139,560488,Oct-Dic 2014
2015,1,10086221,8358053,1134427,36888,556853,Ene-Mar 2015
2015,2,9991190,8291156,1103025,34419,562590,Abr-Jun 2015
2015,3,10050617,8364541,1095767,35230,555079,Jul-Sept 2015
2015,4,9975798,8380800,1003363,35161,556474,Oct-Dic 2015
2016,1,10239381,8950226,721226,37841,530088,Ene-Mar 2016
2016,2,10379749,9037000,759247,38093,545409,Abr-Jun 2016
2016,3,10130489,8829818,724585,37068,539018,Jul-Sept 2016
2016,4,10260812,8971186,721607,37856,530163,Oct-Dic 2016
2017,1,10239381,8950226,721226,37841,530088,Ene-Mar 2017
2017,2,10379749,9037000,759247,38093,545409,Abr-Jun 2017
2017,3,10130489,8829818,724585,37068,539018,Jul-Sept 2017
2017,4,10260812,8971186,721607,37856,530163,Oct-Dic 2017
2018,1,9666921,8490573,711654,37447,427247,Ene-Mar 2018
2018,2,9703699,8638311,712144,38473,314771,Abr-Jun 2018
2018,3,9694988,8656721,709503,38828,289936,Jul-Sept 2018
2018,4,9805917,8764892,715700,39825,285500,Oct-Dic 2018
2019,1,8327400,7360178,655594,34826,276802,Ene-Mar 2019
2019,2,8129983,7177951,640458,34264,277310,Abr-Jun 2019
2019,3,7892689,7069250,619801,34329,169309,Jul-Sept 2019
2019,4,7762812,6942553,618847,34546,166866,Oct-Dic 2019
2020,1,7555630,6778310,605915,33415,137990,Ene-Mar 2020
2020,2,7463257,6694729,598402,34391,135735,Abr-Jun 2020
2020,3,7432548,6712162,542624,36283,141479,Jul-Sept 2020
2020,4,7364032,6621370,579315,34155,129192,Oct-Dic 2020
2021,1,7200461,6459673,557287,34041,149460,Ene-Mar 2021
2021,2,7081716,6378508,545706,34144,123358,Abr-Jun 2021
2021,3,7003303,6311742,536500,34225,120836,Jul-Sept 2021
2021,4,7626355,6933738,538714,34262,119641,Oct-Dic 2021
2022,1,7223205,6452832,627770,26807,115796,Ene-Mar 2022
2022,2,7057734,6307810,610291,26749,112884,Abr-Jun 2022
2022,3,7024647,6292004,597354,26497,108792,Jul-Sept 2022
2022,4,7040872,6307995,594245,27073,111559,Oct-Dic 2022
2023,1,7012760,6182939,695300,27143,107378,Ene-Mar 2023
2023,2,7168276,6345802,694975,27297,100202,Abr-Jun 2023
2023,3,7132755,6323673,685453,27460,96169,Jul-Sept 2023
2023,4,7034211,6242915,669618,27789,93889,Oct-Dic 2023
2024,1,6908056,6161229,630018,27462,89347,Ene-Mar 2024
