año,trimestre,ingresos_(miles_de_$)
2014,1,2916071
2014,2,2974865
2014,3,3105462
2014,4,3339690
2015,1,3260124
2015,2,3425518
2015,3,3590883
2015,4,3815364
2016,1,4198260
2016,2,4718769
2016,3,4951967
2016,4,4964596
2017,1,6375681
2017,2,6970617
2017,3,6667943
2017,4,5514336
2018,1,8252279
2018,2,7911723
2018,3,10111350
2018,4,8997157
2019,1,12238568
2019,2,14181055
2019,3,13404569
2019,4,20321577
2020,1,17067597
2020,2,21035522
2020,3,18162023
2020,4,19750303
2021,1,21378667
2021,2,22178751
2021,3,20789995
2021,4,40616059
2022,1,30583344
2022,2,31258182
2022,3,29698512
2022,4,32356913
2023,1,60878900
2023,2,64560388
2023,3,58985969
2023,4,62663319
2024,1,133124773
