año,trimestre,provincia,accesos_telefonía_fija_por_cada_100_hab,accesos_telefonía_fija_por_cada_100_hogares
2014,1,Buenos Aires,26,85
2014,1,Capital Federal,52,128
2014,1,Catamarca,10,39
2014,1,Chaco,9,34
2014,1,Chubut,17,57
2014,1,Córdoba,21,68
2014,1,Corrientes,9,36
2014,1,Entre Ríos,17,57
2014,1,Formosa,7,28
2014,1,Jujuy,7,30
2014,1,La Pampa,21,64
2014,1,La Rioja,10,41
2014,1,Mendoza,17,61
2014,1,Misiones,9,34
2014,1,Neuquén,15,51
2014,1,Río Negro,17,57
2014,1,Salta,10,44
2014,1,San Juan,12,49
2014,1,San Luis,10,38
2014,1,Santa Cruz,13,44
2014,1,Santa Fe,22,72
2014,1,Santiago del Estero,7,31
2014,1,Tierra del Fuego,22,74
2014,1,Tucumán,13,54
2014,2,Buenos Aires,26,84
2014,2,Capital Federal,52,127
2014,2,Catamarca,10,39
2014,2,Chaco,9,33
2014,2,Chubut,17,57
2014,2,Córdoba,20,68
2014,2,Corrientes,9,36
2014,2,Entre Ríos,17,57
2014,2,Formosa,7,28
2014,2,Jujuy,7,30
2014,2,La Pampa,21,65
2014,2,La Rioja,10,40
2014,2,Mendoza,17,61
2014,2,Misiones,9,34
2014,2,Neuquén,15,51
2014,2,Río Negro,17,57
2014,2,Salta,10,44
2014,2,San Juan,12,49
2014,2,San Luis,10,38
2014,2,Santa Cruz,13,44
2014,2,Santa Fe,22,72
2014,2,Santiago del Estero,7,31
2014,2,Tierra del Fuego,22,74
2014,2,Tucumán,13,54
2014,3,Buenos Aires,26,84
2014,3,Capital Federal,52,127
2014,3,Catamarca,10,39
2014,3,Chaco,9,34
2014,3,Chubut,17,57
2014,3,Córdoba,20,67
2014,3,Corrientes,9,37
2014,3,Entre Ríos,17,58
2014,3,Formosa,7,28
2014,3,Jujuy,7,30
2014,3,La Pampa,21,64
2014,3,La Rioja,10,40
2014,3,Mendoza,17,61
2014,3,Misiones,9,34
2014,3,Neuquén,15,50
2014,3,Río Negro,17,57
2014,3,Salta,10,44
2014,3,San Juan,12,49
2014,3,San Luis,10,37
2014,3,Santa Cruz,13,44
2014,3,Santa Fe,22,72
2014,3,Santiago del Estero,7,30
2014,3,Tierra del Fuego,21,74
2014,3,Tucumán,13,54
2014,4,Buenos Aires,26,85
2014,4,Capital Federal,52,127
2014,4,Catamarca,9,39
2014,4,Chaco,9,34
2014,4,Chubut,17,57
2014,4,Córdoba,20,67
2014,4,Corrientes,9,37
2014,4,Entre Ríos,17,58
2014,4,Formosa,7,28
2014,4,Jujuy,7,30
2014,4,La Pampa,21,64
2014,4,La Rioja,10,40
2014,4,Mendoza,17,62
2014,4,Misiones,9,34
2014,4,Neuquén,15,51
2014,4,Río Negro,17,57
2014,4,Salta,10,44
2014,4,San Juan,12,50
2014,4,San Luis,10,37
2014,4,Santa Cruz,13,44
2014,4,Santa Fe,22,72
2014,4,Santiago del Estero,7,30
2014,4,Tierra del Fuego,21,74
2014,4,Tucumán,13,54
2015,1,Buenos Aires,28,91
2015,1,Capital Federal,53,128
2015,1,Catamarca,9,38
2015,1,Chaco,9,34
2015,1,Chubut,18,60
2015,1,Córdoba,20,66
2015,1,Corrientes,10,38
2015,1,Entre Ríos,17,58
2015,1,Formosa,7,28
2015,1,Jujuy,7,30
2015,1,La Pampa,22,68
2015,1,La Rioja,10,39
2015,1,Mendoza,18,64
2015,1,Misiones,9,34
2015,1,Neuquén,15,52
2015,1,Río Negro,18,59
2015,1,Salta,10,43
2015,1,San Juan,13,52
2015,1,San Luis,10,38
2015,1,Santa Cruz,18,61
2015,1,Santa Fe,22,71
2015,1,Santiago del Estero,7,30
2015,1,Tierra del Fuego,22,74
