año,trimestre,provincia,accesos_telefonía_fija_(total),accesos_telefonía_fija_(hogares),accesos_telefonía_fija_(comercial),accesos_telefonía_fija_(gobierno),accesos_telefonía_fija_(otros)
2024,1,Buenos Aires,2921175,2605367,266413,11613,37782
2024,1,Capital Federal,1420490,1266922,129549,5647,18372
2024,1,Catamarca,26937,24025,2457,107,348
2024,1,Chaco,76782,68481,7003,305,993
2024,1,Chubut,57561,51338,5250,229,744
2024,1,Córdoba,551443,491827,50292,2192,7132
2024,1,Corrientes,79867,71232,7284,318,1033
2024,1,Entre Ríos,170620,152174,15561,678,2207
2024,1,Formosa,30877,27539,2816,123,399
2024,1,Jujuy,43517,38812,3969,173,563
2024,1,La Pampa,66325,59154,6049,264,858
2024,1,La Rioja,24555,21900,2239,98,318
2024,1,Mendoza,172145,153535,15700,684,2226
2024,1,Misiones,84026,74942,7663,334,1087
2024,1,Neuquén,61384,54748,5598,244,794
2024,1,Río Negro,69529,62013,6341,276,899
2024,1,Salta,97425,86893,8885,387,1260
2024,1,San Juan,59837,53368,5457,238,774
2024,1,San Luis,28995,25861,2644,115,375
2024,1,Santa Cruz,21691,19346,1978,86,281
2024,1,Santa Fe,598071,533414,54544,2378,7735
2024,1,Santiago del Estero,62660,55886,5715,249,810
2024,1,Tierra del Fuego,16805,14988,1533,67,217
2024,1,Tucumán,165341,147467,15079,657,2138
2023,4,Buenos Aires,3147886,2793773,299661,12436,42016
2023,4,Capital Federal,1651854,1466033,157247,6526,22048
2023,4,Catamarca,20365,18074,1939,80,272
2023,4,Chaco,53967,47897,5137,213,720
2023,4,Chubut,54140,48049,5154,214,723
2023,4,Córdoba,481423,427266,45829,1902,6426
2023,4,Corrientes,79872,70887,7603,316,1066
2023,4,Entre Ríos,145429,129069,13844,575,1941
2023,4,Formosa,35792,31766,3407,141,478
2023,4,Jujuy,27787,24661,2645,110,371
2023,4,La Pampa,67546,59947,6430,267,902
2023,4,La Rioja,23011,20422,2191,91,307
2023,4,Mendoza,188693,167466,17963,745,2519
2023,4,Misiones,68152,60485,6488,269,910
2023,4,Neuquén,67617,60010,6437,267,903
2023,4,Río Negro,69523,61702,6618,275,928
2023,4,Salta,74846,66426,7125,296,999
2023,4,San Juan,53493,47476,5092,211,714
2023,4,San Luis,27921,24780,2658,110,373
2023,4,Santa Cruz,22302,19793,2123,88,298
2023,4,Santa Fe,451887,401053,43017,1785,6032
2023,4,Santiago del Estero,59124,52473,5628,234,789
2023,4,Tierra del Fuego,14752,13093,1404,58,197
2023,4,Tucumán,146831,130314,13977,580,1960
2023,3,Buenos Aires,3192214,2830114,306770,12290,43040
2023,3,Capital Federal,1680216,1489625,161468,6469,22654
2023,3,Catamarca,21077,18687,2025,81,284
2023,3,Chaco,56620,50198,5441,218,763
2023,3,Chubut,60327,53485,5797,232,813
2023,3,Córdoba,468606,415451,45033,1804,6318
2023,3,Corrientes,82141,72824,7894,316,1107
2023,3,Entre Ríos,148872,131985,14307,573,2007
2023,3,Formosa,34259,30373,3292,132,462
2023,3,Jujuy,28858,25585,2773,111,389
2023,3,La Pampa,67389,59745,6476,259,909
2023,3,La Rioja,23368,20717,2246,90,315
2023,3,Mendoza,170143,150843,16351,655,2294
2023,3,Misiones,70473,62480,6772,271,950
2023,3,Neuquén,74704,66230,7179,288,1007
2023,3,Río Negro,66524,58978,6393,256,897
2023,3,Salta,77616,68812,7459,299,1046
2023,3,San Juan,63651,56431,6117,245,858
2023,3,San Luis,26296,23313,2527,101,355
2023,3,Santa Cruz,23283,20642,2237,90,314
2023,3,Santa Fe,465173,412407,44703,1791,6272
2023,3,Santiago del Estero,60395,53544,5804,233,814
2023,3,Tierra del Fuego,19848,17597,1907,76,268
2023,3,Tucumán,150702,133608,14482,580,2032
2023,2,Buenos Aires,3147886,2793773,299661,12436,42016
2023,2,Capital Federal,1651854,1466033,157247,6526,22048
2023,2,Catamarca,20365,18074,1939,80,272
2023,2,Chaco,53967,47897,5137,213,720
2023,2,Chubut,54140,48049,5154,214,723
2023,2,Córdoba,481423,427266,45829,1902,6426
2023,2,Corrientes,79872,70887,7603,316,1066
2023,2,Entre Ríos,145429,129069,13844,575,1941
2023,2,Formosa,35792,31766,3407,141,478
2023,2,Jujuy,27787,24661,2645,110,371
2023,2,La Pampa,67546,59947,6430,267,902
2023,2,La Rioja,23011,20422,2191,91,307
2023,2,Mendoza,188693,167466,17963,745,2519
2023,2,Misiones,68152,60485,6488,269,910
2023,2,Neuquén,67617,60010,6437,267,903
2023,2,Río Negro,69523,61702,6618,275,928
2023,2,Salta,74846,66426,7125,296,999
2023,2,San Juan,53493,47476,5092,211,714
2023,2,San Luis,27921,24780,2658,110,373
2023,2,Santa Cruz,22302,19793,2123,88,298
2023,2,Santa Fe,451887,401053,43017,1785,6032
2023,2,Santiago del Estero,59124,52473,5628,234,789
2023,2,Tierra del Fuego,14752,13093,1404,58,197
2023,2,Tucumán,146831,130314,13977,580,1960
2023,1,Buenos Aires,2937826,2590193,291279,11371,44983
2023,1,Capital Federal,1451142,1279427,143878,5617,22220
2023,1,Catamarca,28130,24801,2789,109,431
2023,1,Chaco,79914,70458,7923,309,1224
2023,1,Chubut,57411,50618,5692,222,879
2023,1,Córdoba,572246,504532,56737,2215,8762
2023,1,Corrientes,83237,73387,8253,322,1275
2023,1,Entre Ríos,177679,156653,17617,688,2721
2023,1,Formosa,32882,28992,3260,127,503
2023,1,Jujuy,45443,40065,4506,176,696
2023,1,La Pampa,67905,59869,6733,263,1040
2023,1,La Rioja,25642,22608,2542,99,393
2023,1,Mendoza,172165,151793,17070,666,2636
2023,1,Misiones,85417,75309,8469,331,1308
2023,1,Neuquén,62502,55106,6197,242,957
2023,1,Río Negro,67498,59511,6692,261,1034
2023,1,Salta,101735,89696,10087,394,1558
2023,1,San Juan,59837,52756,5933,232,916
2023,1,San Luis,28995,25564,2875,112,444
2023,1,Santa Cruz,22296,19658,2211,86,341
2023,1,Santa Fe,598954,528080,59385,2318,9171
2023,1,Santiago del Estero,64455,56828,6391,249,987
2023,1,Tierra del Fuego,16803,14815,1666,65,257
2023,1,Tucumán,172648,152218,17118,668,2644
2022,4,Buenos Aires,3128431,2802796,264038,12029,49568
2022,4,Capital Federal,1563142,1400437,131928,6010,24767
2022,4,Catamarca,25083,22473,2117,96,397
2022,4,Chaco,64683,57950,5459,249,1025
2022,4,Chubut,54249,48601,4579,209,860
2022,4,Córdoba,495095,443560,41786,1904,7845
2022,4,Corrientes,89013,79748,7513,342,1410
2022,4,Entre Ríos,160151,143480,13517,616,2538
2022,4,Formosa,35186,31523,2970,135,558
2022,4,Jujuy,35655,31944,3009,137,565
2022,4,La Pampa,66351,59445,5600,255,1051
2022,4,La Rioja,25586,22924,2159,98,405
2022,4,Mendoza,162938,145977,13752,627,2582
2022,4,Misiones,76346,68398,6444,294,1210
2022,4,Neuquén,68693,61543,5798,264,1088
2022,4,Río Negro,67359,60348,5685,259,1067
2022,4,Salta,86362,77373,7289,332,1368
2022,4,San Juan,52803,47306,4457,203,837
2022,4,San Luis,27706,24822,2338,107,439
2022,4,Santa Cruz,22986,20594,1940,88,364
2022,4,Santa Fe,490492,439437,41397,1886,7772
2022,4,Santiago del Estero,64909,58153,5478,250,1028
2022,4,Tierra del Fuego,14833,13289,1252,57,235
2022,4,Tucumán,162823,145875,13742,626,2580
2022,3,Buenos Aires,3116760,2791694,265040,11756,48270
2022,3,Capital Federal,1567975,1404441,133336,5914,24284
2022,3,Catamarca,25646,22971,2181,97,397
2022,3,Chaco,65551,58715,5574,247,1015
2022,3,Chubut,58697,52576,4991,221,909
2022,3,Córdoba,486942,436156,41408,1837,7541
2022,3,Corrientes,89977,80594,7651,339,1393
2022,3,Entre Ríos,157201,140805,13368,593,2435
2022,3,Formosa,35254,31577,2998,133,546
2022,3,Jujuy,36008,32252,3062,136,558
2022,3,La Pampa,66212,59307,5630,250,1025
2022,3,La Rioja,25447,22793,2164,96,394
2022,3,Mendoza,138458,124018,11774,522,2144
2022,3,Misiones,76605,68616,6514,289,1186
2022,3,Neuquén,73079,65457,6214,276,1132
2022,3,Río Negro,65111,58320,5537,246,1008
2022,3,Salta,87776,78622,7464,331,1359
2022,3,San Juan,60588,54269,5152,229,938
2022,3,San Luis,25373,22726,2158,96,393
